id,Nama Barang,Harga
283,HPL 60M28 Marigold M,260000
284,HPL 60T02 Peace,260000
285,HPL 60T10 Red,260000
286,HPL 60T14 D Pink,260000
287,HPL 60T23 Orange,260000
288,HPL 60T27 K Yellow,260000
289,HPL 60T31 B Green,260000
290,HPL 60T60 Purple,260000
291,HPL 60T64 R Purple,260000
292,HPL 60T72 T Blue,260000
293,HPL 60T75 M Blue ,260000
294,HPL 60T80 V Grey,260000
295,HPL 60T82 M Grey,260000
296,HPL 60T83 D Grey,260000
297,HPL 60T87 G Grey,260000
298,HPL 60T90 Black,260000
299,HPL 66T03 L Ivory,260000
300,HPL 80G91 Black G,290000
301,HPL 80T11 Lotus,290000
302,HPL 80T13 B Maple,290000
303,HPL 80T30 A Walnut,290000
304,HPL 80T37 T Beech,290000
305,HPL 80T49 GN Cherry,290000
306,HPL 80T78 S Grey,290000
307,HPL 80T80 M Wood,290000
308,HPL 80T81 G Wood,290000
309,HPL 80T89 C Wood,290000
310,HPL 80T90 D Beech,290000
311,HPL 80T97 L Zebra,290000
312,HPL 90M52 Memphis Teak,290000
313,HPL 90T16 H Elm,290000
314,HPL 90T17 R Cherry,290000
315,HPL 90T19 Revwood YK,290000
316,HPL 90T20 S Cherry,290000
317,HPL 90T21 P Cherry,290000
318,HPL 90T22 N Elm,290000
319,HPL 90T23 L Oak,290000
320,HPL 90T24 Vok Beech,290000
321,HPL 90T28 M Beech,290000
322,HPL 90T29 E Cherry,290000
323,HPL 90T31 HD Crossfire,290000
324,HPL 90T33 HL Crossfire,290000
325,HPL 90T36 Birch,290000
326,HPL 90T45 T Planks,290000
327,HPL 90T51 A Cherry,290000
328,HPL 90T55 Mahagony,290000
329,HPL 90T56 Noble Walnut,290000
330,HPL 90T60 Dallas G,290000
331,HPL 90T66 Yohan Wood,290000
332,HPL 90T71 Winter Oak,290000
333,HPL 90T72 Vienna Oak,290000
334,HPL 90T73 Milan Oak,290000
335,HPL 90T93 Supreme Maple,290000
336,HPL MK-1005 Silver Mirror,2300000
337,HPL SK-8020 Aluminium,750000
